logging to data/NCC_original_sampling_r_N5-10_T1.0_eps0.01_2026-03-10_23-03-10.log
[2026-03-10 23:03:10] starting N=5 T=1.0 eps=0.01
[repeat 3/10] eval r=4: sample_error=2.327733e+02, bias=8.646925e+00, fluct=2.331068e+02
[repeat 3/10] eval r=8: sample_error=4.275116e+00, bias=3.786778e-01, fluct=4.284379e+00
[repeat 3/10] eval r=16: sample_error=8.085656e-02, bias=3.757113e-02, fluct=7.911728e-02
[repeat 3/10] eval r=32: sample_error=1.867401e-02, bias=4.468823e-03, fluct=1.851112e-02
[repeat 3/10] eval r=64: sample_error=6.935283e-03, bias=5.523684e-04, fluct=6.920233e-03
[repeat 3/10] eval r=48: sample_error=1.110047e-02, bias=1.313019e-03, fluct=1.111482e-02
[repeat 3/10] eval r=56: sample_error=7.723211e-03, bias=8.254353e-04, fluct=7.742810e-03
[repeat 3/10] eval r=52: sample_error=8.833304e-03, bias=1.031731e-03, fluct=8.822346e-03
[repeat 3/10] eval r=50: sample_error=9.007835e-03, bias=1.161081e-03, fluct=9.009658e-03
[repeat 3/10] eval r=49: sample_error=9.658706e-03, bias=1.233934e-03, fluct=9.658763e-03
[repeat 3/10] eval r=24: sample_error=4.062212e-02, bias=1.072398e-02, fluct=4.060924e-02
[repeat 3/10] eval r=28: sample_error=2.547853e-02, bias=6.702637e-03, fluct=2.525513e-02
[repeat 3/10] eval r=26: sample_error=2.836760e-02, bias=8.399178e-03, fluct=2.760122e-02
[repeat 3/10] eval r=25: sample_error=3.210802e-02, bias=9.466631e-03, fluct=3.216253e-02
[repeat 3/10] sampled_r_min=49, expected_r_min=25, current mean=48.667, 95% CI=[46.938, 50.395]
[repeat 4/10] eval r=1: sample_error=8.326578e+01, bias=8.254224e+01, fluct=2.038996e+01
[repeat 4/10] eval r=2: sample_error=1.733636e+02, bias=1.064606e+02, fluct=1.512322e+02
[repeat 4/10] eval r=4: sample_error=2.343819e+02, bias=8.646925e+00, fluct=2.343001e+02
[repeat 4/10] eval r=8: sample_error=4.091524e+00, bias=3.786778e-01, fluct=4.076590e+00
[repeat 4/10] eval r=16: sample_error=8.732737e-02, bias=3.757113e-02, fluct=8.536981e-02
[repeat 4/10] eval r=32: sample_error=2.134194e-02, bias=4.468823e-03, fluct=2.136266e-02
[repeat 4/10] eval r=64: sample_error=6.432255e-03, bias=5.523684e-04, fluct=6.428498e-03
[repeat 4/10] eval r=48: sample_error=9.399491e-03, bias=1.313019e-03, fluct=9.403215e-03
[repeat 4/10] eval r=40: sample_error=1.487896e-02, bias=2.275506e-03, fluct=1.488040e-02
[repeat 4/10] eval r=44: sample_error=1.142754e-02, bias=1.706786e-03, fluct=1.139853e-02
[repeat 4/10] eval r=46: sample_error=1.153374e-02, bias=1.492706e-03, fluct=1.153869e-02
[repeat 4/10] eval r=47: sample_error=9.859456e-03, bias=1.399018e-03, fluct=9.832543e-03
[repeat 4/10] eval r=24: sample_error=3.565217e-02, bias=1.072398e-02, fluct=3.527418e-02
[repeat 4/10] eval r=28: sample_error=2.655426e-02, bias=6.702637e-03, fluct=2.629208e-02
[repeat 4/10] eval r=26: sample_error=2.937586e-02, bias=8.399178e-03, fluct=2.903744e-02
[repeat 4/10] eval r=25: sample_error=3.129580e-02, bias=9.466631e-03, fluct=3.110299e-02
[repeat 4/10] sampled_r_min=47, expected_r_min=25, current mean=48.250, 95% CI=[46.780, 49.720]
[repeat 5/10] eval r=1: sample_error=8.356167e+01, bias=8.254224e+01, fluct=2.355398e+01
[repeat 5/10] eval r=2: sample_error=1.703762e+02, bias=1.064606e+02, fluct=1.509409e+02
[repeat 5/10] eval r=4: sample_error=2.393520e+02, bias=8.646925e+00, fluct=2.394319e+02
[repeat 5/10] eval r=8: sample_error=3.940638e+00, bias=3.786778e-01, fluct=3.941261e+00
[repeat 5/10] eval r=16: sample_error=8.047022e-02, bias=3.757113e-02, fluct=7.762587e-02
[repeat 5/10] eval r=32: sample_error=1.956796e-02, bias=4.468823e-03, fluct=1.962541e-02
[repeat 5/10] eval r=64: sample_error=6.863003e-03, bias=5.523684e-04, fluct=6.872643e-03
[repeat 5/10] eval r=48: sample_error=1.113285e-02, bias=1.313019e-03, fluct=1.104815e-02
[repeat 5/10] eval r=56: sample_error=7.584122e-03, bias=8.254353e-04, fluct=7.586510e-03
[repeat 5/10] eval r=52: sample_error=8.455532e-03, bias=1.031731e-03, fluct=8.467745e-03
[repeat 5/10] eval r=50: sample_error=9.457849e-03, bias=1.161081e-03, fluct=9.458412e-03
[repeat 5/10] eval r=49: sample_error=9.404902e-03, bias=1.233934e-03, fluct=9.419723e-03
[repeat 5/10] eval r=24: sample_error=3.301725e-02, bias=1.072398e-02, fluct=3.287190e-02
[repeat 5/10] eval r=28: sample_error=2.473855e-02, bias=6.702637e-03, fluct=2.445938e-02
[repeat 5/10] eval r=26: sample_error=2.796193e-02, bias=8.399178e-03, fluct=2.765098e-02
[repeat 5/10] eval r=25: sample_error=3.314031e-02, bias=9.466631e-03, fluct=3.304068e-02
[repeat 5/10] sampled_r_min=49, expected_r_min=25, current mean=48.400, 95% CI=[47.224, 49.576]
[repeat 6/10] eval r=1: sample_error=8.493636e+01, bias=8.254224e+01, fluct=2.072435e+01
[repeat 6/10] eval r=2: sample_error=1.657657e+02, bias=1.064606e+02, fluct=1.578338e+02
[repeat 6/10] eval r=4: sample_error=2.380615e+02, bias=8.646925e+00, fluct=2.382818e+02
[repeat 6/10] eval r=8: sample_error=4.016215e+00, bias=3.786778e-01, fluct=4.010608e+00
[repeat 6/10] eval r=16: sample_error=8.571580e-02, bias=3.757113e-02, fluct=8.345576e-02
[repeat 6/10] eval r=32: sample_error=2.017909e-02, bias=4.468823e-03, fluct=2.027245e-02
[repeat 6/10] eval r=64: sample_error=6.746936e-03, bias=5.523684e-04, fluct=6.732626e-03
